123mon	41135929	uncertain	they	mumsnet/Refusing to vaccinate your child | Mumsnet Discussion.html
exoticfruits	41170528	for	You	mumsnet/Refusing to vaccinate your child 2| Mumsnet Discussion.html
imadgeine	26460579	for	At	mumsnet/Debate on Vaccines 4| Mumsnet Discussion.html
bumbleymummy	26546686	against	Pims,	mumsnet/Debate on Vaccines 10| Mumsnet Discussion.html
RationalThought	38494398	for	Given	mumsnet/If you know more than me about vaccination 2| Mumsnet Discussion.html
Beachcomber	38483059	against	Bruffin,	mumsnet/If you know more than me about vaccination | Mumsnet Discussion.html
noblegiraffe	38485694	for	See,	mumsnet/If you know more than me about vaccination 2| Mumsnet Discussion.html
Organic100	original-first-post	against	For	mumsnet/Refusing to vaccinate your child 5| Mumsnet Discussion.html
Crumbledwalnuts	41248057	against	Why	"mumsnet/Unsure about vaccinations? Try reading ""Deadly Choices"" | Mumsnet Discussion.html"
PoppyAmex	41251187	for	Andrew	"mumsnet/Unsure about vaccinations? Try reading ""Deadly Choices"" | Mumsnet Discussion.html"
StarlightMcKenzie	41313833	against	See,	"mumsnet/Unsure about vaccinations? Try reading ""Deadly Choices"" 4| Mumsnet Discussion.html"
CatherinaJTV	41198942	for	Sure	mumsnet/Refusing to vaccinate your child 3| Mumsnet Discussion.html
silverfrog	26479176	against	that's	mumsnet/Debate on Vaccines 5| Mumsnet Discussion.html
saintlyjimjams	41246134	against	www.ncbi.nlm.nih.gov/pmc/articles/PMC2941041/#!po=80.3571	mumsnet/Refusing to vaccinate your child 5| Mumsnet Discussion.html
illuminasam	26540345	against	Again,	mumsnet/Debate on Vaccines 10| Mumsnet Discussion.html
maxybrown	26218029	uncertain	Oh	mumsnet/Debate on Vaccines | Mumsnet Discussion.html
Gooseberrybushes	26508419	against	_CITATION_PREVIOUS_POST_PARAGRAPH	mumsnet/Debate on Vaccines 8| Mumsnet Discussion.html
bubbleymummy	26133217	against	_CITATION_PREVIOUS_POST_	mumsnet/Debate on Vaccines | Mumsnet Discussion.html
noblegiraffe	38516835	for	But	mumsnet/If you know more than me about vaccination 2| Mumsnet Discussion.html
PIMSoclock	26547267	uncertain	And	mumsnet/Debate on Vaccines 10| Mumsnet Discussion.html
BumbleBee2011	38483492	for	Hi	mumsnet/If you know more than me about vaccination | Mumsnet Discussion.html
CoteDAzur	41220454	against	You	mumsnet/Refusing to vaccinate your child 4| Mumsnet Discussion.html
imadgeine	26461893	for	Yes	mumsnet/Debate on Vaccines 4| Mumsnet Discussion.html
PukousMucous	40938956	for	Wow	mumsnet/Refusing to vaccinate your child | Mumsnet Discussion.html
marvinthemartian	30205111	against	muslinsuit	mumsnet/Older discussion of to vaccinate or not to vaccinate? 1| Mumsnet Discussion.html
Crumbledwalnuts	41258288	against	Oh	mumsnet/Refusing to vaccinate your child 6| Mumsnet Discussion.html
bruffin	41204013	for	I	mumsnet/Refusing to vaccinate your child 3| Mumsnet Discussion.html
